[2024-12-02 05:50:56 PM-train - unet.py-INFO:epoch: 53, dataset: CVC-ClinicDB, dice: 0.8228032258064518]
[2024-12-02 05:51:14 PM-train - unet.py-INFO:epoch: 53, dataset: Kvasir, dice: 0.49570399999999976]
[2024-12-02 05:52:22 PM-train - unet.py-INFO:epoch: 53, dataset: CVC-ColonDB, dice: 0.4028655263157899]
[2024-12-02 05:53:07 PM-train - unet.py-INFO:epoch: 53, dataset: ETIS-LaribPolypDB, dice: 0.17558724489795924]
[2024-12-02 05:54:23 PM-train - unet.py-INFO:epoch: 54, dataset: CVC-300, dice: 0.6045983333333336]
[2024-12-02 05:54:41 PM-train - unet.py-INFO:epoch: 54, dataset: CVC-ClinicDB, dice: 0.840462096774194]
[2024-12-02 05:54:59 PM-train - unet.py-INFO:epoch: 54, dataset: Kvasir, dice: 0.523884]
[2024-12-02 05:56:07 PM-train - unet.py-INFO:epoch: 54, dataset: CVC-ColonDB, dice: 0.5010555263157892]
[2024-12-02 05:56:52 PM-train - unet.py-INFO:epoch: 54, dataset: ETIS-LaribPolypDB, dice: 0.24519438775510216]
[2024-12-02 05:58:08 PM-train - unet.py-INFO:epoch: 55, dataset: CVC-300, dice: 0.737166666666667]
[2024-12-02 05:58:29 PM-train - unet.py-INFO:epoch: 55, dataset: CVC-ClinicDB, dice: 0.8916564516129031]
[2024-12-02 05:58:47 PM-train - unet.py-INFO:epoch: 55, dataset: Kvasir, dice: 0.5385979999999999]
[2024-12-02 05:59:54 PM-train - unet.py-INFO:epoch: 55, dataset: CVC-ColonDB, dice: 0.5350813157894739]
[2024-12-02 06:00:39 PM-train - unet.py-INFO:epoch: 55, dataset: ETIS-LaribPolypDB, dice: 0.25984438775510194]
[2024-12-02 06:01:54 PM-train - unet.py-INFO:epoch: 56, dataset: CVC-300, dice: 0.6404566666666666]
[2024-12-02 06:02:15 PM-train - unet.py-INFO:epoch: 56, dataset: CVC-ClinicDB, dice: 0.9018056451612906]
[2024-12-02 06:02:33 PM-train - unet.py-INFO:epoch: 56, dataset: Kvasir, dice: 0.54122]
[2024-12-02 06:03:40 PM-train - unet.py-INFO:epoch: 56, dataset: CVC-ColonDB, dice: 0.5306634210526314]
[2024-12-02 06:04:24 PM-train - unet.py-INFO:epoch: 56, dataset: ETIS-LaribPolypDB, dice: 0.23608469387755107]
[2024-12-02 06:05:39 PM-train - unet.py-INFO:epoch: 57, dataset: CVC-300, dice: 0.6860699999999997]
[2024-12-02 06:06:00 PM-train - unet.py-INFO:epoch: 57, dataset: CVC-ClinicDB, dice: 0.8988798387096775]
[2024-12-02 06:06:18 PM-train - unet.py-INFO:epoch: 57, dataset: Kvasir, dice: 0.5778460000000001]
[2024-12-02 06:07:25 PM-train - unet.py-INFO:epoch: 57, dataset: CVC-ColonDB, dice: 0.5400710526315785]
[2024-12-02 06:08:10 PM-train - unet.py-INFO:epoch: 57, dataset: ETIS-LaribPolypDB, dice: 0.2912836734693878]
[2024-12-02 06:09:26 PM-train - unet.py-INFO:epoch: 58, dataset: CVC-300, dice: 0.7361650000000001]
[2024-12-02 06:09:47 PM-train - unet.py-INFO:epoch: 58, dataset: CVC-ClinicDB, dice: 0.8960991935483872]
[2024-12-02 06:10:05 PM-train - unet.py-INFO:epoch: 58, dataset: Kvasir, dice: 0.5756090000000001]
[2024-12-02 06:11:12 PM-train - unet.py-INFO:epoch: 58, dataset: CVC-ColonDB, dice: 0.512267105263158]
[2024-12-02 06:11:57 PM-train - unet.py-INFO:epoch: 58, dataset: ETIS-LaribPolypDB, dice: 0.27840969387755105]
[2024-12-02 06:12:07 PM-train - unet.py-INFO:##############################################################################best:0.9013491803278688]
[2024-12-02 06:13:12 PM-train - unet.py-INFO:epoch: 59, dataset: CVC-300, dice: 0.70185]
[2024-12-02 06:13:33 PM-train - unet.py-INFO:epoch: 59, dataset: CVC-ClinicDB, dice: 0.8966637096774193]
[2024-12-02 06:13:51 PM-train - unet.py-INFO:epoch: 59, dataset: Kvasir, dice: 0.6038589999999998]
[2024-12-02 06:14:44 PM-train - unet.py-INFO:epoch: 59, dataset: CVC-ColonDB, dice: 0.5358542105263158]
[2024-12-02 06:15:09 PM-train - unet.py-INFO:epoch: 59, dataset: ETIS-LaribPolypDB, dice: 0.28200612244897977]
[2024-12-02 06:15:58 PM-train - unet.py-INFO:epoch: 60, dataset: CVC-300, dice: 0.6474833333333331]
[2024-12-02 06:16:09 PM-train - unet.py-INFO:epoch: 60, dataset: CVC-ClinicDB, dice: 0.9044725806451615]
[2024-12-02 06:16:18 PM-train - unet.py-INFO:epoch: 60, dataset: Kvasir, dice: 0.5213070000000001]
[2024-12-02 06:16:52 PM-train - unet.py-INFO:epoch: 60, dataset: CVC-ColonDB, dice: 0.5073463157894739]
[2024-12-02 06:17:17 PM-train - unet.py-INFO:epoch: 60, dataset: ETIS-LaribPolypDB, dice: 0.2418454081632653]
[2024-12-02 06:18:07 PM-train - unet.py-INFO:epoch: 61, dataset: CVC-300, dice: 0.6251466666666666]
[2024-12-02 06:18:17 PM-train - unet.py-INFO:epoch: 61, dataset: CVC-ClinicDB, dice: 0.8813016129032256]
[2024-12-02 06:18:27 PM-train - unet.py-INFO:epoch: 61, dataset: Kvasir, dice: 0.510668]
[2024-12-02 06:19:01 PM-train - unet.py-INFO:epoch: 61, dataset: CVC-ColonDB, dice: 0.4359736842105269]
[2024-12-02 06:19:26 PM-train - unet.py-INFO:epoch: 61, dataset: ETIS-LaribPolypDB, dice: 0.22346275510204083]
[2024-12-02 06:20:15 PM-train - unet.py-INFO:epoch: 62, dataset: CVC-300, dice: 0.5937083333333334]
[2024-12-02 06:20:25 PM-train - unet.py-INFO:epoch: 62, dataset: CVC-ClinicDB, dice: 0.8938879032258069]
